pool_id,pool_label,unit_role,industry,weighted_att,n_units,weight_type
P1,All Australia (exc. Greater Sydney),spillover,Accommodation and food services,-2.892804978472268,10,Population (2011 ERP)
P1,All Australia (exc. Greater Sydney),spillover,Arts and recreation services,7.813390487468826,10,Population (2011 ERP)
P1,All Australia (exc. Greater Sydney),spillover,Population,-11.035470435015037,10,Population (2011 ERP)
P1,All Australia (exc. Greater Sydney),spillover,Retail trade,-3.0758488977631107,10,Population (2011 ERP)
P1,All Australia (exc. Greater Sydney),spillover,Total,-6.764161652014041,10,Population (2011 ERP)
P1,All Australia (exc. Greater Sydney),treated,Accommodation and food services,-6.151575330783905,5,Population (2011 ERP)
P1,All Australia (exc. Greater Sydney),treated,Arts and recreation services,11.527887550871723,3,Population (2011 ERP)
P1,All Australia (exc. Greater Sydney),treated,Population,-12.528382039794144,5,Population (2011 ERP)
P1,All Australia (exc. Greater Sydney),treated,Retail trade,-0.8961708600538268,5,Population (2011 ERP)
P1,All Australia (exc. Greater Sydney),treated,Total,-1.1471280710527227,5,Population (2011 ERP)
P2,All Australia exc. NSW,spillover,Accommodation and food services,-2.198567438313565,10,Population (2011 ERP)
P2,All Australia exc. NSW,spillover,Arts and recreation services,8.218779095386045,10,Population (2011 ERP)
P2,All Australia exc. NSW,spillover,Population,-9.543273164607132,10,Population (2011 ERP)
P2,All Australia exc. NSW,spillover,Retail trade,-3.1272167316684722,10,Population (2011 ERP)
P2,All Australia exc. NSW,spillover,Total,-6.751594690779891,10,Population (2011 ERP)
P2,All Australia exc. NSW,treated,Accommodation and food services,-5.6010473552645985,5,Population (2011 ERP)
P2,All Australia exc. NSW,treated,Arts and recreation services,12.235379039975443,3,Population (2011 ERP)
P2,All Australia exc. NSW,treated,Population,-11.984534043136977,5,Population (2011 ERP)
P2,All Australia exc. NSW,treated,Retail trade,-0.8245725470066039,5,Population (2011 ERP)
P2,All Australia exc. NSW,treated,Total,-1.2862582069632185,5,Population (2011 ERP)
P3,Capital cities only (exc. Greater Sydney),spillover,Accommodation and food services,-2.897891103603334,10,Population (2011 ERP)
P3,Capital cities only (exc. Greater Sydney),spillover,Arts and recreation services,3.759068577472721,10,Population (2011 ERP)
P3,Capital cities only (exc. Greater Sydney),spillover,Population,-10.743715263473003,10,Population (2011 ERP)
P3,Capital cities only (exc. Greater Sydney),spillover,Retail trade,-3.22728851804467,10,Population (2011 ERP)
P3,Capital cities only (exc. Greater Sydney),spillover,Total,-6.530141089533192,10,Population (2011 ERP)
P3,Capital cities only (exc. Greater Sydney),treated,Accommodation and food services,-6.324926179311141,5,Population (2011 ERP)
P3,Capital cities only (exc. Greater Sydney),treated,Arts and recreation services,10.677932348243148,3,Population (2011 ERP)
P3,Capital cities only (exc. Greater Sydney),treated,Population,-10.95096008896065,5,Population (2011 ERP)
P3,Capital cities only (exc. Greater Sydney),treated,Retail trade,0.03275009335836119,5,Population (2011 ERP)
P3,Capital cities only (exc. Greater Sydney),treated,Total,-1.6337194813366702,5,Population (2011 ERP)
