location,sigma,amenity_pre,amenity_post,delta_amenity,V_pre,V_post,delta_V,worker_welfare_pre,worker_welfare_post,delta_worker_welfare,EU_pre,EU_post,delta_EU,resident_welfare_pre_total,resident_welfare_post_total,delta_resident_welfare_total,worker_welfare_pre_total,worker_welfare_post_total,delta_worker_welfare_total,total_welfare_pre,total_welfare_post,delta_total_welfare,pool_id
CBD,10000,-20667.55149753728,-20243.120887955258,424.43060958202113,-15511.65892142977,-16930.653574135868,-1418.9946527060983,1774760084.5,1661163254.337056,-113596830.16294408,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,P1
Inner_Ring,10000,-28756.24508226447,-28375.32506253329,380.9200197311802,-8642.29764180374,-9918.213767731671,-1275.9161259279317,4967804191.5,4528911264.148928,-438892927.3510723,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,P1
Rest_of_Sydney,10000,0,0,0,22823.054638070924,22823.054638070924,0,87668878952.5,87668878952.5,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,P1
Sydney_Total,10000,NA,NA,NA,NA,NA,NA,NA,NA,NA,23449.37708252185,23373.827206559694,-75.54987596215506,109677332692.86287,109323971115.21217,-353361577.6506958,94411443228.5,93858953470.98598,-552489757.5140228,204088775921.36285,203182924586.19815,-905851335.1647034,P1
CBD,10000,-20667.55149753728,-20135.12460546111,532.4268920761679,-15511.65892142977,-16859.809524707824,-1348.1506032780544,1774760084.5,1664758088.5135653,-110001995.9864347,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,P2
Inner_Ring,10000,-28756.24508226447,-28237.57472690267,518.6703553618026,-8642.29764180374,-9737.914470888361,-1095.6168290846217,4967804191.5,4548975282.341553,-418828909.15844727,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,P2
Rest_of_Sydney,10000,0,0,0,22823.054638070924,22823.054638070924,0,87668878952.5,87668878952.5,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,P2
Sydney_Total,10000,NA,NA,NA,NA,NA,NA,NA,NA,NA,23449.37708252185,23381.604477507914,-67.77260501393539,109677332692.86287,109360346935.7821,-316985757.0807648,94411443228.5,93882612323.35512,-528830905.1448822,204088775921.36285,203242959259.1372,-845816662.225647,P2
CBD,10000,-20667.55149753728,-20777.027900113746,-109.47640257646708,-15511.65892142977,-16744.433820065093,-1232.7748986353236,1774760084.5,1761809830.9778678,-12950253.522132158,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,P3
Inner_Ring,10000,-28756.24508226447,-29295.114048159106,-538.868965894635,-8642.29764180374,-9867.780274143686,-1225.4826323399466,4967804191.5,4718697441.495241,-249106750.00475883,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,P3
Rest_of_Sydney,10000,0,0,0,22823.054638070924,22823.054638070924,0,87668878952.5,87668878952.5,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,P3
Sydney_Total,10000,NA,NA,NA,NA,NA,NA,NA,NA,NA,23449.37708252185,23378.976498177857,-70.4005843439918,109677332692.86287,109348055361.37148,-329277331.49139404,94411443228.5,94149386224.97311,-262057003.526886,204088775921.36285,203497441586.3446,-591334335.0182495,P3
CBD,10000,-20667.55149753728,-19670.848364730547,996.7031328067314,-15511.65892142977,-15511.65892142977,0,1774760084.5,1774760084.5,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,P4
Inner_Ring,10000,-28756.24508226447,-28756.24508226447,0,-8642.29764180374,-8642.29764180374,0,4967804191.5,4967804191.5,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,P4
Rest_of_Sydney,10000,0,0,0,22823.054638070924,22823.054638070924,0,87668878952.5,87668878952.5,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,P4
Sydney_Total,10000,NA,NA,NA,NA,NA,NA,NA,NA,NA,23449.37708252185,23449.37708252185,0,109677332692.86287,109677332692.86287,0,94411443228.5,94411443228.5,0,204088775921.36285,204088775921.36285,0,P4
