pool_id,zone,E0,N0,delta_E,delta_N,worker_welfare,resident_amenity,total_welfare,landowner_value
P1,CBD,123159,95045,99.33318288456417,-11948.217227156116,-141574429.82867888,345486841.43800557,203912411.60932666,54136550.715525836
P1,Inner-Ring,173270,188913,-11631.046849270644,-21368.33597357104,-460441644.24599606,609421942.2833246,148980298.03732854,97470995.06965187
P1,Rest of Sydney,3046900,4393238,0,33316.553200727154,0,0,0,0
P2,CBD,123159,95045,-86.35077013303575,-11422.496555053598,-137973019.22169912,362003421.6780064,224030402.45630732,59289792.817376
P2,Inner-Ring,173270,188913,-11606.316379063619,-18452.74360759747,-440669087.0808018,624659743.6482807,183990656.56747898,104725264.94366638
P2,Rest of Sydney,3046900,4393238,0,29875.240162651065,0,0,0,0
P3,CBD,123159,95045,-528.365567529901,-10429.875076950506,-46810306.85039958,294320695.16378385,247510388.31338423,64236203.08940047
P3,Inner-Ring,173270,188913,-11204.836670639452,-20607.902852234994,-272472953.9336243,466107517.17069787,193634563.23707354,109427998.82584482
P3,Rest of Sydney,3046900,4393238,0,31037.7779291855,0,0,0,0
P4,CBD,123159,95045,0,0,0,256337793.61027226,256337793.61027226,59278385.208131455
P4,Inner-Ring,173270,188913,0,0,0,0,0,0
P4,Rest of Sydney,3046900,4393238,0,0,0,0,0,0
