pool_id,zone,sa2_code,sa2_name,E0,N0,delta_E,delta_y,delta_R,delta_N,worker_welfare,amenity_per_resident,resident_amenity,total_welfare,landowner_value
P1,CBD,117031329,Darlinghurst,13419,11251,-566.7462983938054,356.0999520965037,2244.1281048473766,-2358.5987935991557,-6737269.427361459,1888.0281527508728,21242204.74660007,14504935.31923861,6368835.561556854
P1,Inner-Ring,117031330,Erskineville - Alexandria,15747,15204,-1098.6758394810583,-1031.8891844512327,2451.3023176016404,-2239.823995687283,-57546308.1923337,3483.191502052873,52958443.59721188,-4587864.595121816,7709424.230531323
P1,Inner-Ring,117031331,Glebe - Forest Lodge,16791,18118,-356.8875653623358,-1243.2069601340768,2752.8734016513918,-882.5503823092698,-28461686.958150804,3996.0803617854685,72400983.99482912,43939297.036678314,12153426.786711589
P1,Inner-Ring,117031332,Newtown - Camperdown - Darlington,23102,23418,-1357.9063541943176,-1085.504556030101,737.6498444609871,-1875.9396881232592,-54104605.247179985,1823.154400491088,42694629.750700295,-11409975.49647969,3599019.408869712
P1,CBD,117031333,Potts Point - Woolloomooloo,24612,20247,-1297.345223833688,1507.1476725279513,1252.7221134184836,-2332.398575495633,15588932.50374186,-254.4255591094677,-5151354.295289393,10437578.208452467,7202741.25930308
P1,CBD,117031334,Pyrmont - Ultimo,22047,20823,-2220.290005795161,-5079.909585944209,1899.8667137715925,-2804.2626692590843,-139447522.87338495,6979.776299715801,145339881.88898212,5892359.015597165,9096561.825538384
P1,Inner-Ring,117031335,Redfern - Chippendale,19723,18872,-1604.0435185742783,-922.515952349661,3741.1902710546547,-5040.489102501158,-44040709.754716635,4663.706223404316,88013463.84808625,43972754.09336962,16613997.473788181
P1,CBD,117031336,Surry Hills,19175,16961,283.4029109925083,-2287.872594002238,2297.34639921659,-72.52341285670379,-38094452.95964599,4585.2189932188285,77769899.34398454,39675446.38433856,9900689.988991799
P1,CBD,117031337,Sydney - Haymarket - The Rocks,43906,25763,3900.3117999147103,-21.43789532859894,4104.099105553605,-4380.433775945539,27115882.92797166,4125.537000882204,106286209.75372821,133402092.68169987,21567722.080135718
P1,Inner-Ring,117031338,Waterloo - Beaconsfield,20593,24217,-1613.767973321538,-1096.0638736052615,4193.790187527582,-9858.1353054144,-64064342.40201801,5289.8540611328435,128104395.79845408,64040053.396436065,21781724.251141507
P1,Inner-Ring,118011341,Bondi Junction - Waverly,16222.000000000002,17195,-561.038115069317,-2236.0704890340835,2794.8981051836317,-498.9971051361503,-46886092.91072732,5030.968594217715,86507504.9775736,39621412.06684628,7740280.249234917
P1,Inner-Ring,118011345,Paddington - Moore Park,14317,15672,-994.7514662403045,-561.9101131376378,2967.312509521082,-236.65658938301655,-39116018.552895606,3529.22262265872,55309976.94230746,16193958.389411852,8669561.351317631
P1,Inner-Ring,120021387,Balmain,13266,15886,-1905.0728481473905,670.7774747946747,2348.3991819049306,-143.24400280451633,-73484012.33793288,1677.621707110256,26650698.439153526,-46833313.89877936,6053076.388532962
P1,Inner-Ring,120021388,Leichhardt - Annandale,22014,26300,-1557.2334144877389,533.2160179225182,1618.8467976234197,-461.9570255720906,-42779303.579581976,1085.6307797009015,28552089.50613371,-14227214.073448267,6431759.269297727
P1,Inner-Ring,120021389,Lilyfield - Rozelle,11495,14031,-581.6697543923657,1186.8278228600634,3198.783879368842,-130.5427766398952,-9958564.310459137,2011.9560565087786,28229755.42887467,18271191.118415534,6718725.660226316
P1,Rest of Sydney,REST,Rest of Greater Sydney,3046900,4393238,0,0,0,33316.553200727154,0,0,0,0,0
P2,CBD,117031329,Darlinghurst,13419,11251,-569.5134306752527,434.6481893891994,2464.5648598006396,-2237.614292159169,-5784190.544632256,2029.9166704114402,22838592.458799113,17054401.914166857,6994435.072114215
P2,Inner-Ring,117031330,Erskineville - Alexandria,15747,15204,-1093.8766613977232,-831.9276300249884,2669.82615062909,-2071.109558899171,-54435854.83472741,3501.7537806540786,53240664.48106461,-1195190.3536627963,8396688.67816531
P2,Inner-Ring,117031331,Glebe - Forest Lodge,16791,18118,-347.49205937536607,-1127.6314813639826,2933.009416863793,-648.0140061859158,-26361483.537971497,4060.6408982277753,73570691.79409084,47209208.25611934,12948693.968711525
P2,Inner-Ring,117031332,Newtown - Camperdown - Darlington,23102,23418,-1343.4512349545462,-990.302066501871,944.2431856670606,-1586.2439637228908,-51724137.44565529,1934.5452521689317,45303180.715292044,-6420956.730363242,4606995.551381087
P2,CBD,117031333,Potts Point - Woolloomooloo,24612,20247,-1353.4806796202067,1567.8429211653408,1466.2179954827334,-2096.6658948083177,16070104.512047887,-101.62492568260745,-2057599.8702957532,14012504.641752133,8430272.5545232
P2,CBD,117031334,Pyrmont - Ultimo,22047,20823,-2214.300487959124,-5027.0541175298185,2121.485608113911,-2565.321129679152,-138325204.3054517,7148.53972564373,148854042.70707938,10528838.40162769,10157673.091649406
P2,Inner-Ring,117031335,Redfern - Chippendale,19723,18872,-1601.360131835747,-883.1136853645964,3912.1995419428645,-5009.478541353781,-43283438.6947124,4795.313227307461,90497151.2257464,47213712.53103399,17373420.91624521
P2,CBD,117031336,Surry Hills,19175,16961,245.29404535844665,-2222.2192855407748,2510.4512445800074,-415.2563876175294,-37596071.83232832,4732.670530120782,80270824.86137858,42674753.02905026,10819090.892666891
P2,CBD,117031337,Sydney - Haymarket - The Rocks,43906,25763,3805.649782763101,4.2878367644164825,4355.394521585482,-4107.638850789431,27662342.94866526,4351.106684821066,112097561.52104512,139759904.46971038,22888321.20642229
P2,Inner-Ring,117031338,Waterloo - Beaconsfield,20593,24217,-1623.6515581693532,-991.1502536386954,4359.700765408649,-7616.161968622644,-62328325.49088526,5350.851019047344,129581559.12826954,67253233.63738428,22643431.274182506
P2,Inner-Ring,118011341,Bondi Junction - Waverly,16222.000000000002,17195,-551.659318634945,-2162.05886512441,3018.5446216335476,-452.21892990475885,-45548896.89743143,5180.603486757958,89080476.9548031,43531580.05737166,8359654.06857984
P2,Inner-Ring,118011345,Paddington - Moore Park,14317,15672,-997.2978574606252,-422.4250323665441,3194.3061591904643,-277.30777984604634,-37337655.58235043,3616.7311915570085,56681411.23408144,19343755.651731007,9332765.97363287
P2,Inner-Ring,120021387,Balmain,13266,15886,-1898.4704580526459,855.4891393513103,2560.4962606919185,-193.27088877795933,-71098784.74628413,1705.0071213406081,27085743.1296169,-44013041.616667226,6599763.608310022
P2,Inner-Ring,120021388,Leichhardt - Annandale,22014,26300,-1561.3904199895774,673.8679130413329,1831.2201622579275,-425.1736251329778,-40048138.78562975,1157.3522492165946,30438364.154396437,-9609774.631233312,7275529.265658859
P2,Inner-Ring,120021389,Lilyfield - Rozelle,11495,14031,-587.6666791930896,1342.6420247895933,3422.3584263945727,-173.7643451513227,-8502371.065154195,2079.716401604979,29180500.830919463,20678129.76576527,7188321.638799161
P2,Rest of Sydney,REST,Rest of Greater Sydney,3046900,4393238,0,0,0,29875.240162651065,0,0,0,0,0
P3,CBD,117031329,Darlinghurst,13419,11251,-563.4081980528779,628.5592319923791,2602.3930385276803,-2061.744439742575,-3166816.9478901923,1973.8338065353014,22207604.157328676,19040787.209438484,7385591.443341557
P3,Inner-Ring,117031330,Erskineville - Alexandria,15747,15204,-1037.0229883519573,2210.924373661446,2810.274235585777,-1816.6291005335463,-7527181.099100351,599.349861924331,9112515.300697528,1585334.2015971765,8838402.39969281
P3,Inner-Ring,117031331,Glebe - Forest Lodge,16791,18118,-282.6510004131885,752.3631811345847,3044.9787131858548,-379.9920745431982,6060061.157311499,2292.61553205127,41537608.209704906,47597669.367016405,13443017.697653608
P3,Inner-Ring,117031332,Newtown - Camperdown - Darlington,23102,23418,-1265.4208186238532,-728.2850623040388,1072.7379806327554,-1143.2195570527524,-44327136.8575446,1801.0230429367941,42176357.61949384,-2150779.238050759,5233926.153336535
P3,CBD,117031333,Potts Point - Woolloomooloo,24612,20247,-1564.586972897558,2117.3059792553927,1612.8325251296233,-1719.1293805873852,25221664.314059317,-504.4734541257694,-10214074.025684454,15007590.288374864,9273258.010427091
P3,CBD,117031334,Pyrmont - Ultimo,22047,20823,-2136.433022863694,-2289.156590154686,2264.8072398943673,-2188.449067749407,-82845275.04375064,4553.963830049053,94827188.83311144,11981913.789360791,10843897.06461423
P3,Inner-Ring,117031335,Redfern - Chippendale,19723,18872,-1536.9597905244773,-637.4818268160309,4025.1105507547063,-4936.958913013408,-37776148.64676601,4662.592377570737,87992443.34951495,50216294.70274894,17874839.73732912
P3,CBD,117031336,Surry Hills,19175,16961,80.36903686843401,-1651.4360379932414,2656.672800473482,-744.2141832868488,-29977285.393646955,4308.108838466724,73069834.0092341,43092548.615587145,11449250.234376527
P3,CBD,117031337,Sydney - Haymarket - The Rocks,43906,25763,3655.693589415795,369.65834574710067,4811.3049781188765,-3716.338005584289,43957406.22082889,4441.646632371776,114430142.18979406,158387548.41062295,25284206.336641066
P3,Inner-Ring,117031338,Waterloo - Beaconsfield,20593,24217,-1584.7542733724645,-724.676758594832,4487.555664980547,-6463.666198572142,-56258926.460315585,5212.232423575379,126224632.60172494,69965706.14140935,23307484.562998623
P3,Inner-Ring,118011341,Bondi Junction - Waverly,16222.000000000002,17195,-488.813293719615,-1864.74014338668,3157.2485149974973,-1000.9957678588086,-39677683.623355985,5021.988658384177,86353094.98091592,46675411.357559934,8743785.06938655
P3,Inner-Ring,118011345,Paddington - Moore Park,14317,15672,-993.5430351627041,898.8185568899613,3338.031229532028,-1121.691924782234,-19616317.52714795,2439.212672642067,38227341.005646475,18611023.478498526,9752685.786948973
P3,Inner-Ring,120021387,Balmain,13266,15886,-1847.4301840671171,2561.976950399149,2693.2766924078223,-1108.0671454503254,-49396532.551345944,131.29974200867355,2085827.701549788,-47310704.84979615,6942009.552812011
P3,Inner-Ring,120021388,Leichhardt - Annandale,22014,26300,-1554.161953729703,1372.2206995544273,1965.0997064318321,-1663.0551974563768,-25505874.240162015,592.8790068774049,15592717.88087575,-9913156.359286265,7807439.388638991
P3,Inner-Ring,120021389,Lilyfield - Rozelle,11495,14031,-614.0793326743708,2365.6217573091926,3563.325308059231,-973.626972972202,1552785.9148026109,1197.7035507500382,16804978.520573787,18357764.4353764,7484408.477047608
P3,Rest of Sydney,REST,Rest of Greater Sydney,3046900,4393238,0,0,0,31037.7779291855,0,0,0,0,0
P4,CBD,117031329,Darlinghurst,13419,11251,0,0,2463.7143150222028,0,0,2463.7143150222028,27719249.758314803,27719249.758314803,6992021.226033011
P4,Inner-Ring,117031330,Erskineville - Alexandria,15747,15204,0,0,0,0,0,0,0,0,0
P4,Inner-Ring,117031331,Glebe - Forest Lodge,16791,18118,0,0,0,0,0,0,0,0,0
P4,Inner-Ring,117031332,Newtown - Camperdown - Darlington,23102,23418,0,0,0,0,0,0,0,0,0
P4,CBD,117031333,Potts Point - Woolloomooloo,24612,20247,0,0,1463.571234941486,0,0,1463.571234941486,29632926.793860268,29632926.793860268,8415054.549548484
P4,CBD,117031334,Pyrmont - Ultimo,22047,20823,0,0,2118.258645240157,0,0,2118.258645240157,44108499.769835785,44108499.769835785,10142222.393409872
P4,Inner-Ring,117031335,Redfern - Chippendale,19723,18872,0,0,0,0,0,0,0,0,0
P4,CBD,117031336,Surry Hills,19175,16961,0,0,2514.5157333253646,0,0,2514.5157333253646,42648701.35293151,42648701.35293151,10836607.294653658
P4,CBD,117031337,Sydney - Haymarket - The Rocks,43906,25763,0,0,4356.185845411244,0,0,4356.185845411244,112228415.93532988,112228415.93532988,22892479.74448643
P4,Inner-Ring,117031338,Waterloo - Beaconsfield,20593,24217,0,0,0,0,0,0,0,0,0
P4,Inner-Ring,118011341,Bondi Junction - Waverly,16222.000000000002,17195,0,0,0,0,0,0,0,0,0
P4,Inner-Ring,118011345,Paddington - Moore Park,14317,15672,0,0,0,0,0,0,0,0,0
P4,Inner-Ring,120021387,Balmain,13266,15886,0,0,0,0,0,0,0,0,0
P4,Inner-Ring,120021388,Leichhardt - Annandale,22014,26300,0,0,0,0,0,0,0,0,0
P4,Inner-Ring,120021389,Lilyfield - Rozelle,11495,14031,0,0,0,0,0,0,0,0,0
P4,Rest of Sydney,REST,Rest of Greater Sydney,3046900,4393238,0,0,0,-0,0,0,0,0,0
